INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,OFFICER_GENDER,OFFICER_RACE
7814,03/12/2015 08:57:00 PM,2015-200492,LCP150312001535,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX PURCELL,,,MALE,BLACK,MALE,WHITE
7814,03/12/2015 08:57:00 PM,2015-200492,LCP150312001535,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX PURCELL,,,MALE,BLACK,MALE,WHITE
-3246,12/04/1999 08:57:00 AM,9901016,P993380435,DISTRICT 4,9826,INJURY TO PRISONER,10XX WM HOWARD TAFT,,,MALE,BLACK,MALE,HISPANIC/LATINO
-6006,04/25/2002 07:39:00 PM,20020258,P021151309,DISTRICT 5,9826,INJURY TO PRISONER,57XX DAVY AV,,,MALE,BLACK,MALE,WHITE
3461,09/19/2007 01:53:00 AM,2007-103758,P072620021,DISTRICT 3,9826,INJURY TO PRISONER,18XX SUNSET AV,,,MALE,WHITE,MALE,WHITE
3461,09/19/2007 01:53:00 AM,2007-103758,P072620021,DISTRICT 3,9826,INJURY TO PRISONER,18XX SUNSET AV,,,MALE,WHITE,MALE,WHITE
-8203,09/28/2004 05:47:00 PM,20040708,P042720134,DISTRICT 5,9826,INJURY TO PRISONER,30XX W MCMICKEN ST,,,MALE,WHITE,MALE,WHITE
-1906,09/04/1998 02:13:00 AM,9800666,P982470132,DISTRICT 2,9825,CHEMICAL IRRITANT,18XX DUCK CREEK RD,,,MALE,BLACK,MALE,WHITE
-6662,01/31/2003 10:44:00 PM,20030068,P030311689,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,1XX WARNER ST,,,MALE,BLACK,MALE,BLACK
-2472,03/24/1999 09:08:00 PM,9900240,P990833131,DISTRICT 5,9826,INJURY TO PRISONER,7XX DUTCH COLONY,,,MALE,BLACK,MALE,WHITE
-6440,11/07/2002 12:06:00 AM,20020695,P023101752,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,1XX E CLIFTON AV,,,MALE,BLACK,MALE,WHITE
-1205,12/07/1997 12:15:00 AM,9701454,P97340114,DISTRICT 4,9825,CHEMICAL IRRITANT,3XX ROCKDALE AV,,,MALE,BLACK,MALE,WHITE
-127,08/30/1996 08:25:00 PM,9600282,P962431121,DISTRICT 1,9826,INJURY TO PRISONER,17XX CAMPBELL ST,,,MALE,BLACK,FEMALE,WHITE
-5023,04/12/2001 01:30:00 AM,20010442,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX W ELDER STREET,,,OTHER,UNKNOWN,MALE,WHITE
-5023,04/12/2001 01:30:00 AM,20010442,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX W ELDER STREET,,,OTHER,UNKNOWN,MALE,WHITE
3175,05/19/2007 11:47:00 PM,2007-98594,P071391635,DISTRICT 3,9826,INJURY TO PRISONER,9XX ENRIGHT AV,,,MALE,BLACK,MALE,WHITE
3175,05/19/2007 11:47:00 PM,2007-98594,P071391635,DISTRICT 3,9826,INJURY TO PRISONER,9XX ENRIGHT AV,,,MALE,BLACK,MALE,WHITE
8505,07/05/2016 10:35:00 AM,2016-214987,LCP160705001881,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,28XX QUEEN CITY AV CINTI OH 45238,,,MALE,BLACK,MALE,WHITE
1986,01/19/2006 05:10:00 PM,2006-78613,P060191341,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,8XX W LIBERTY,,,FEMALE,BLACK,MALE,WHITE
4072,07/05/2008 03:47:00 AM,2008-116826,LCP080705000349,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,25XX W NORTHBEND RD,,,MALE,BLACK,MALE,BLACK
-5966,04/22/2002 04:10:00 AM,20020217,P021130137,DISTRICT 3,9825,CHEMICAL IRRITANT,53XX GLENWAY AV,,,MALE,BLACK,MALE,WHITE
-4936,04/10/2001 10:30:00 PM,20010355,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX VINE STREET,,,MALE,BLACK,MALE,TWO OR MORE
4259,09/30/2008 11:40:00 AM,2008-120987,LCP080930000733,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,I-7X N/B  5MILEPOST,,,MALE,BLACK,MALE,WHITE
-6310,09/16/2002 11:57:00 PM,20020565,P022591824,DISTRICT 1,9825,CHEMICAL IRRITANT,21XX WINCHELL AV,,,MALE,BLACK,MALE,BLACK
7719,12/30/2014 12:18:00 PM,2014-197587,LCP141230000566,DISTRICT 2,9826,INJURY TO PRISONER,15XX CHAPEL ST,,,MALE,BLACK,MALE,BLACK
-2273,01/16/1999 06:50:00 PM,9900040,P990160857,DISTRICT 1,9825,CHEMICAL IRRITANT,XX WEST 12TH ST,,,MALE,BLACK,MALE,WHITE
1847,12/23/2005 07:37:00 PM,2005-76844,P053571211,DISTRICT 1,9826,INJURY TO PRISONER,XX W TWELFTH ST,,,MALE,BLACK,MALE,WHITE
-3243,11/23/1999 10:25:00 AM,9901013,P993270498,DISTRICT 5,9825,CHEMICAL IRRITANT,56XX  BELMONT,,,FEMALE,BLACK,MALE,WHITE
-5043,04/12/2001 05:35:00 AM,20010463,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX WEST ELDER STREET,,,OTHER,UNKNOWN,MALE,HISPANIC/LATINO
-2423,03/04/1999 07:46:00 PM,9900191,P990631082,DISTRICT 3,9826,INJURY TO PRISONER,38XX GLENWAY,,,MALE,WHITE,MALE,WHITE
-2423,03/04/1999 07:46:00 PM,9900191,P990631082,DISTRICT 3,9826,INJURY TO PRISONER,38XX GLENWAY,,,MALE,WHITE,MALE,WHITE
-2091,11/02/1998 09:15:00 PM,9800852,P983061195,DISTRICT 1,9826,INJURY TO PRISONER,16XX ELM,,,MALE,BLACK,MALE,BLACK
-2091,11/02/1998 09:15:00 PM,9800852,P983061195,DISTRICT 1,9826,INJURY TO PRISONER,16XX ELM,,,MALE,BLACK,MALE,BLACK
4482,02/14/2009 05:20:00 PM,2009-126602,LCP090214001124,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,8XX CHARLOTTE ST CINCINNATI OHIO 45214,,,MALE,BLACK,MALE,BLACK
-8097,07/30/2004 12:03:00 AM,20040601,P042120005,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,18XX GOOSE AV,,,MALE,BLACK,MALE,WHITE
5569,09/29/2010 11:53:00 AM,2010-149209,LCP100929000685,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,7XX NEAV ST,,,MALE,WHITE,MALE,WHITE
5569,09/29/2010 11:53:00 AM,2010-149209,LCP100929000685,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,7XX NEAV ST,,,MALE,WHITE,MALE,WHITE
6352,03/11/2012 04:41:00 PM,2012-166994,LCP120311000981,DISTRICT 4,9826,INJURY TO PRISONER,22XX VINE ST,,,MALE,BLACK,MALE,WHITE
6352,03/11/2012 04:41:00 PM,2012-166994,LCP120311000981,DISTRICT 4,9826,INJURY TO PRISONER,22XX VINE ST,,,MALE,BLACK,MALE,WHITE
1871,01/04/2006 09:17:00 PM,2006-77154,P060041623,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX GILBERT AV CINCINNATI OH,,,MALE,BLACK,MALE,WHITE
1381,07/21/2005 08:20:00 AM,2005-70434,P052020289,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX GOODMAN STREET - UNIVERSITY HOSPITAL,,,MALE,WHITE,MALE,WHITE
3656,12/27/2007 01:26:00 AM,2007-107858,LCP071227000081,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,36XX  MONTGOMERY ROAD,,,MALE,BLACK,FEMALE,BLACK
-6236,08/14/2002 12:40:00 AM,20020490,P022260035,DISTRICT 1,9826,INJURY TO PRISONER,XX EAST LIBERTY ST,,,MALE,BLACK,FEMALE,WHITE
-8089,08/16/2004 06:11:00 PM,20040592,P042291125,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,17XX FIRST AV,,,MALE,BLACK,MALE,WHITE
-4591,01/02/2001 05:18:00 PM,20010007,P010021022,DISTRICT 1,9825,CHEMICAL IRRITANT,2XX CENTRAL PARKWAY,,,MALE,BLACK,MALE,WHITE
5364,06/20/2010 09:57:00 PM,2010-144918,LCP100620001380,DISTRICT 5,9826,INJURY TO PRISONER,48XX GRAY RD,,,MALE,BLACK,MALE,WHITE
5364,06/20/2010 09:57:00 PM,2010-144918,LCP100620001380,DISTRICT 5,9826,INJURY TO PRISONER,48XX GRAY RD,,,MALE,BLACK,MALE,WHITE
2639,09/26/2006 05:00:00 PM,2006-89000,P062691224,DISTRICT 2,8223,WEAPON DISCHARGE AT AN ANIMAL,36XX EVANSTON AV,,,OTHER,UNKNOWN,MALE,BLACK
-2620,05/12/1999 04:35:00 PM,9900388,P991320916,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,X WEST 12TH ST,,,MALE,BLACK,MALE,WHITE
-2620,05/12/1999 04:35:00 PM,9900388,P991320916,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,X WEST 12TH ST,,,MALE,BLACK,MALE,WHITE
-3609,04/04/2000 02:15:00 PM,20000299,P000950806,DISTRICT 1,9825,CHEMICAL IRRITANT,X  W 12TH,,,MALE,BLACK,MALE,BLACK
8999,07/10/2017 02:58:00 AM,2017-226428,CPD170710000153,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,75XX READING RD CINCINNATI OHIO 45237,,,MALE,BLACK,MALE,BLACK
-1843,08/08/1998 02:15:00 AM,9800603,P982200117,DISTRICT 1,9825,CHEMICAL IRRITANT,3XX EZZARD CHAS DR,,,MALE,WHITE,MALE,BLACK
1040,04/15/2005 01:30:00 PM,2005-65201,P051050778,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX CLIFTON AV,,,MALE,BLACK,MALE,WHITE
1040,04/15/2005 01:30:00 PM,2005-65201,P051050778,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX CLIFTON AV,,,MALE,BLACK,MALE,WHITE
-1966,09/27/1998 12:21:00 AM,9800726,P982700016,DISTRICT 3,9825,CHEMICAL IRRITANT,19XX QUEEN CITY,,,MALE,WHITE,MALE,WHITE
-5102,05/27/2001 04:15:00 PM,20010522,P011470775,DISTRICT 1,9825,CHEMICAL IRRITANT,XX WEST 13TH STREET,,,MALE,BLACK,MALE,WHITE
3521,10/17/2007 05:05:00 PM,2007-104900,P072901102,DISTRICT 3,9826,INJURY TO PRISONER,17XX DENHAM,,,MALE,BLACK,MALE,WHITE
6385,08/14/2011 12:52:00 AM,2012-168125,LCP110913001456,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,47XX COLERAIN AV,,,FEMALE,WHITE,MALE,WHITE
-4721,02/21/2001 08:47:00 AM,20010138,P010520382,DISTRICT 1,9826,INJURY TO PRISONER,12XX DOERR AL,,,MALE,WHITE,MALE,WHITE
-4721,02/21/2001 08:47:00 AM,20010138,P010520382,DISTRICT 1,9826,INJURY TO PRISONER,12XX DOERR AL,,,MALE,WHITE,MALE,WHITE
9093,09/16/2017 02:45:00 AM,2017-228784,CPD170916000244,DISTRICT 4,9826,INJURY TO PRISONER,24XX READING RD CINCINNATI OHIO 45212,,,MALE,BLACK,MALE,WHITE
-3440,02/18/2000 01:45:00 AM,20000129,NONE,DISTRICT 4,9825,CHEMICAL IRRITANT,17XX SEYMOUR,,,OTHER,UNKNOWN,MALE,BLACK
1054,04/18/2005 01:47:00 PM,2005-65310,P051080853,DISTRICT 1,9826,INJURY TO PRISONER,3XX E LIBERTY ST,,,MALE,WHITE,FEMALE,BLACK
9093,09/16/2017 02:45:00 AM,2017-228784,CPD170916000244,DISTRICT 4,9826,INJURY TO PRISONER,24XX READING RD CINCINNATI OHIO 45212,,,MALE,BLACK,MALE,WHITE
-2312,01/30/1999 12:50:00 AM,9900079,P990300051,DISTRICT 1,9825,CHEMICAL IRRITANT,X  GREEN ST,,,MALE,BLACK,MALE,WHITE
-7199,08/25/2003 01:46:00 AM,20030624,P032370091,DISTRICT 4,9826,INJURY TO PRISONER,27XX READING RD,,,MALE,BLACK,MALE,BLACK
1856,12/06/2005 06:03:00 PM,2005-76925,P053401272,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,28XX VINE ST,,,MALE,BLACK,MALE,BLACK
-7837,04/17/2004 02:10:00 AM,20040337,P041080177,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,59XX HAMILTON AVNUE,,,MALE,BLACK,MALE,BLACK
1138,05/13/2005 11:14:00 PM,2005-66448,P051332040,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,44XX W EIGHTH ST,,,MALE,WHITE,FEMALE,WHITE
-1967,09/27/1998 09:53:00 PM,9800727,P982701134,DISTRICT 1,9826,INJURY TO PRISONER,XX WEST ELDER ST,,,MALE,BLACK,MALE,WHITE
-1967,09/27/1998 09:53:00 PM,9800727,P982701134,DISTRICT 1,9826,INJURY TO PRISONER,XX WEST ELDER ST,,,MALE,BLACK,MALE,WHITE
-1202,12/07/1997 03:35:00 AM,9701451,P973410160,DISTRICT 3,9825,CHEMICAL IRRITANT,,,,MALE,WHITE,MALE,WHITE
2658,10/04/2006 12:48:00 PM,2006-89401,P062770828,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,30XX FERGUSON RD,,,MALE,BLACK,MALE,WHITE
-3501,03/02/2000 09:30:00 PM,20000190,P000621366,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE,,,MALE,BLACK,MALE,WHITE
-1476,03/27/1998 08:00:00 PM,9800230,P980861301,DISTRICT 4,9826,INJURY TO PRISONER,83XX WISWELL,,,MALE,WHITE,MALE,WHITE
-4650,01/24/2001 11:04:00 AM,20010066,P010240544,DISTRICT 1,9826,INJURY TO PRISONER,1XX E 12TH ST,,,MALE,WHITE,MALE,WHITE
-2674,06/06/1999 06:41:00 PM,9900442,P991570961,DISTRICT 2,9826,INJURY TO PRISONER,31XX  BROTHERTON,,,MALE,BLACK,MALE,BLACK
-7477,12/26/2003 08:47:00 PM,20030904,P033601313,DISTRICT 1,9826,INJURY TO PRISONER,13XX SYCAMORE ST,,,MALE,WHITE,MALE,WHITE
-1191,11/25/1997 05:05:00 PM,9701440,P973290939,DISTRICT 1,9826,INJURY TO PRISONER,5XX EAST 12TH ST,,,MALE,BLACK,MALE,BLACK
-3332,01/24/2000 02:38:00 AM,20000020,P000240144,DISTRICT 2,9826,INJURY TO PRISONER,36XX STACON ST,,,MALE,OTHER,MALE,WHITE
-3332,01/24/2000 02:38:00 AM,20000020,P000240144,DISTRICT 2,9826,INJURY TO PRISONER,36XX STACON ST,,,MALE,OTHER,MALE,WHITE
-1365,02/20/1998 02:38:00 AM,9800118,P980510165,DISTRICT 1,9825,CHEMICAL IRRITANT,16XX LINN ST,,,OTHER,UNKNOWN,MALE,WHITE
1156,05/21/2005 08:28:00 PM,2005-66824,P051411498,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX FINDLAY ST,,,MALE,BLACK,MALE,BLACK
5862,04/29/2011 12:33:00 AM,2011-155861,LCP110429000023,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,58XX KENNEDY AV # 4,,,MALE,BLACK,MALE,BLACK
5862,04/29/2011 12:33:00 AM,2011-155861,LCP110429000023,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,58XX KENNEDY AV # 4,,,MALE,BLACK,MALE,BLACK
7970,07/26/2015 12:45:00 AM,2015-203622,LCP0727000016,DISTRICT 1,9826,INJURY TO PRISONER,9XX PAVILION AV,,,MALE,WHITE,MALE,BLACK
-32,07/30/1996 03:00:00 PM,9600185,P962120701,DISTRICT 1,9825,CHEMICAL IRRITANT,7XX MAIN STREET,,,FEMALE,BLACK,MALE,WHITE
-1936,09/12/1998 04:32:00 PM,9800696,P982550773,DISTRICT 3,9825,CHEMICAL IRRITANT,19XX WESTWOOD NTH BLVD,,,FEMALE,BLACK,MALE,BLACK
-3196,11/16/1999 07:51:00 PM,9900966,P993201271,DISTRICT 4,9825,CHEMICAL IRRITANT,77XX READING,,,MALE,WHITE,MALE,WHITE
-2101,11/13/1998 02:08:00 PM,9800862,P983170698,DISTRICT 1,9825,CHEMICAL IRRITANT,5XX E,,,FEMALE,BLACK,MALE,BLACK
-5116,05/10/2001 10:58:00 PM,20010536,P011301580,DISTRICT 2,9826,INJURY TO PRISONER,25XX EASTERN AV,,,MALE,WHITE,MALE,WHITE
-5550,10/12/2001 07:52:00 PM,20010974,P012851437,DISTRICT 3,9825,CHEMICAL IRRITANT,13XX ILLIFF AV,,,FEMALE,BLACK,MALE,WHITE
-4586,01/01/2001 08:05:00 PM,20010002,P010011083,DISTRICT 4,9825,CHEMICAL IRRITANT,9XX DEBBIE LN,,,MALE,BLACK,MALE,BLACK
3270,06/22/2007 11:37:00 PM,2007-100480,P071722071,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX GREEN ST,,,MALE,BLACK,MALE,WHITE
3270,06/22/2007 11:37:00 PM,2007-100480,P071722071,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX GREEN ST,,,MALE,BLACK,MALE,WHITE
-6575,12/26/2002 08:19:00 PM,20020831,P023601015,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,53XX BETTMAN DRIVE,,,FEMALE,BLACK,FEMALE,WHITE
9130,10/18/2017 12:08:00 AM,2017-229807,CPD171018000006,DISTRICT 5,9826,INJURY TO PRISONER,8XX GWINETTE AV,,,MALE,BLACK,MALE,WHITE
-694,05/23/1997 12:45:00 AM,9700340,P971430032,DISTRICT 5,9825,CHEMICAL IRRITANT,53XX BAHAMA TERR,,,MALE,BLACK,MALE,WHITE
-4966,04/11/2001 12:50:00 AM,20010385,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX SYCAMORE STREET,,,MALE,BLACK,OTHER,UNKNOWN
9130,10/18/2017 12:08:00 AM,2017-229807,CPD171018000006,DISTRICT 5,9826,INJURY TO PRISONER,8XX GWINETTE AV,,,MALE,BLACK,MALE,WHITE
-4424,11/21/2000 06:30:00 PM,20001121,P003261071,DISTRICT 1,9825,CHEMICAL IRRITANT,XX W THIRTEENTH ST,,,MALE,BLACK,MALE,WHITE
3444,09/14/2007 12:30:00 AM,2007-103578,P072570045,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,8XX YORK ST,,,MALE,BLACK,FEMALE,WHITE
-4732,02/27/2001 02:33:00 AM,20010149,P010580103,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,3XX WM HOWARD TAFT,,,MALE,BLACK,MALE,WHITE
-4732,02/27/2001 02:33:00 AM,20010149,P010580103,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,3XX WM HOWARD TAFT,,,MALE,BLACK,MALE,WHITE
-5370,08/16/2001 10:20:00 PM,20010791,P001228178,DISTRICT 1,9825,CHEMICAL IRRITANT,16XX READING RD,,,FEMALE,BLACK,MALE,WHITE
4368,12/02/2008 09:57:00 PM,2008-123753,LCP081202001588,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,8XX LINCOLN AV,,,MALE,BLACK,MALE,WHITE
-3446,02/20/2000 02:40:00 PM,20000135,P000517061,DISTRICT 4,9825,CHEMICAL IRRITANT,39XX DICKSON,,,MALE,BLACK,MALE,BLACK
8727,12/27/2016 04:55:00 PM,2016-220394,LCP161227000857,DISTRICT 4,9826,INJURY TO PRISONER,9XX WINDSOR AV,,,MALE,BLACK,MALE,WHITE
-1177,11/21/1997 05:50:00 PM,9701426,P973251044,DISTRICT 2,9825,CHEMICAL IRRITANT,DIST  2,,,MALE,WHITE,MALE,WHITE
4170,08/17/2008 05:02:00 PM,2008-118955,LCP080817001042,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,39XX LATHAM AV CINTI OH 45205,,,FEMALE,WHITE,MALE,WHITE
-2339,02/07/1999 04:29:00 AM,9900106,P990380288,DISTRICT 5,9825,CHEMICAL IRRITANT,25XX MCMICKEN,,,MALE,BLACK,MALE,WHITE
-8022,07/15/2004 01:29:00 PM,20040524,P041970928,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX WOODLAWN AV,,,MALE,WHITE,FEMALE,WHITE
-3697,05/02/2000 06:00:00 PM,20000389,P001231063,DISTRICT 4,9825,CHEMICAL IRRITANT,23XX VINE,,,MALE,BLACK,MALE,WHITE
7636,10/04/2014 10:01:00 PM,2014-195578,LCP141004001421,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,43XX READING RD,,,MALE,BLACK,FEMALE,BLACK
2880,01/11/2007 01:55:00 PM,2007-93428,#P070110796,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,38XX VINE ST,,,MALE,BLACK,MALE,WHITE
-3840,06/05/2000 04:05:00 PM,20000533,P001570911,DISTRICT 5,9826,INJURY TO PRISONER,44XX ESTE,,,MALE,WHITE,MALE,WHITE
-3840,06/05/2000 04:05:00 PM,20000533,P001570911,DISTRICT 5,9826,INJURY TO PRISONER,44XX ESTE,,,MALE,WHITE,MALE,WHITE
-2265,01/24/1999 01:02:00 AM,9900032,P990240086,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,37XX READING,,,MALE,BLACK,MALE,HISPANIC/LATINO
2542,08/10/2006 04:27:00 PM,2006-87475,P062221285,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX BURNET WOODS DR,,,MALE,WHITE,MALE,WHITE
579,10/28/2003 06:00:00 PM,2005-60530,PO33011207,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,X W CORRY,,,FEMALE,BLACK,MALE,WHITE
4137,08/02/2008 02:30:00 AM,2008-118325,LCP080802000209,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,8XX VINE ST CINCINNATI OHIO,,,MALE,BLACK,MALE,BLACK
